

Software Version	3.00.19
User Name:	System Administrator



Experiment File Path:	E:\plate_reader\20161119_ligand_titrations.xpt
Protocol File Path:	C:\Users\msloan\Desktop\Kale\37C_24h_growth_with_anti_condensation_gradient.prt



Plate Number	Plate 1
Date	11/19/2016
Time	7:31:41 PM
Reader Type:	Synergy H1
Reader Serial Number:	271228
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 flat bottom (Use plate lid)
Eject plate on completion	
Shake	Orbital: 0:05 (MM:SS)
	Frequency: 548 cpm (2 mm)
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Read	Pathlength Corrected OD
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Pathlength Correction: 977 / 900
	    Absorbance at 1 cm: 0.18
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Orbital: Continuous
	Frequency: 548 cpm (2 mm)
    Read	OD600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	



Actual Temperature:	37.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.172	0.238	0.211	0.196	0.190	0.199	0.205	0.203	0.203	0.202	0.197	0.171	Pathlength Corrected OD:977 [Test]
	0.063	0.134	0.105	0.091	0.086	0.093	0.099	0.099	0.097	0.096	0.092	0.063	Pathlength Corrected OD:900 [Ref]
	0.605	0.581	0.588	0.582	0.579	0.592	0.591	0.582	0.588	0.587	0.583	0.597	Pathlength Corrected OD:Pathlength
	0.048	0.133	0.098	0.086	0.078	0.085	0.094	0.093	0.092	0.091	0.086	0.048	Pathlength Corrected OD:600
B	0.170	0.203	0.203	0.200	0.200	0.200	0.201	0.189	0.198	0.212	0.246	0.172	Pathlength Corrected OD:977 [Test]
	0.063	0.097	0.097	0.095	0.093	0.094	0.095	0.083	0.093	0.108	0.140	0.063	Pathlength Corrected OD:900 [Ref]
	0.598	0.592	0.591	0.583	0.594	0.589	0.591	0.590	0.580	0.580	0.584	0.602	Pathlength Corrected OD:Pathlength
	0.048	0.093	0.093	0.091	0.091	0.089	0.089	0.078	0.087	0.103	0.141	0.047	Pathlength Corrected OD:600
C	0.172	0.195	0.199	0.193	0.192	0.197	0.194	0.199	0.192	0.191	0.193	0.171	Pathlength Corrected OD:977 [Test]
	0.064	0.091	0.096	0.090	0.090	0.094	0.090	0.093	0.088	0.088	0.089	0.064	Pathlength Corrected OD:900 [Ref]
	0.599	0.577	0.573	0.569	0.564	0.577	0.577	0.591	0.574	0.570	0.579	0.596	Pathlength Corrected OD:Pathlength
	0.048	0.087	0.093	0.087	0.087	0.090	0.087	0.088	0.082	0.083	0.083	0.048	Pathlength Corrected OD:600
D	0.172	0.201	0.201	0.198	0.197	0.198	0.197	0.198	0.195	0.196	0.197	0.173	Pathlength Corrected OD:977 [Test]
	0.065	0.095	0.094	0.091	0.091	0.093	0.090	0.092	0.089	0.091	0.092	0.064	Pathlength Corrected OD:900 [Ref]
	0.598	0.586	0.592	0.591	0.593	0.585	0.595	0.590	0.586	0.582	0.583	0.602	Pathlength Corrected OD:Pathlength
	0.048	0.088	0.086	0.082	0.081	0.086	0.082	0.083	0.080	0.081	0.083	0.048	Pathlength Corrected OD:600
E	0.173	0.170	0.171	0.172	0.171	0.171	0.175	0.171	0.172	0.171	0.172	0.172	Pathlength Corrected OD:977 [Test]
	0.064	0.067	0.068	0.068	0.067	0.066	0.071	0.068	0.068	0.068	0.069	0.064	Pathlength Corrected OD:900 [Ref]
	0.608	0.573	0.573	0.576	0.579	0.579	0.580	0.571	0.574	0.570	0.572	0.599	Pathlength Corrected OD:Pathlength
	0.047	0.056	0.059	0.057	0.056	0.055	0.062	0.058	0.058	0.058	0.059	0.048	Pathlength Corrected OD:600
F	0.173	0.174	0.172	0.171	0.173	0.174	0.174	0.175	0.173	0.172	0.174	0.173	Pathlength Corrected OD:977 [Test]
	0.064	0.069	0.068	0.068	0.069	0.069	0.069	0.069	0.070	0.069	0.070	0.065	Pathlength Corrected OD:900 [Ref]
	0.606	0.582	0.581	0.573	0.582	0.585	0.584	0.584	0.574	0.577	0.579	0.603	Pathlength Corrected OD:Pathlength
	0.047	0.060	0.058	0.058	0.057	0.058	0.058	0.058	0.060	0.059	0.060	0.048	Pathlength Corrected OD:600
G	0.170	0.168	0.168	0.168	0.168	0.171	0.172	0.168	0.169	0.167	0.169	0.172	Pathlength Corrected OD:977 [Test]
	0.064	0.066	0.066	0.067	0.066	0.069	0.069	0.066	0.068	0.065	0.065	0.063	Pathlength Corrected OD:900 [Ref]
	0.593	0.571	0.564	0.561	0.564	0.567	0.574	0.567	0.566	0.568	0.578	0.603	Pathlength Corrected OD:Pathlength
	0.047	0.058	0.058	0.058	0.058	0.060	0.059	0.058	0.056	0.055	0.054	0.047	Pathlength Corrected OD:600
H	0.175	0.174	0.173	0.173	0.174	0.175	0.173	0.173	0.175	0.173	0.173	0.172	Pathlength Corrected OD:977 [Test]
	0.064	0.068	0.067	0.067	0.068	0.070	0.069	0.068	0.070	0.069	0.068	0.064	Pathlength Corrected OD:900 [Ref]
	0.616	0.587	0.589	0.586	0.586	0.587	0.583	0.583	0.584	0.578	0.583	0.601	Pathlength Corrected OD:Pathlength
	0.048	0.055	0.055	0.056	0.056	0.060	0.058	0.056	0.060	0.059	0.056	0.048	Pathlength Corrected OD:600

OD600:600

Time	T° OD600:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1:49:10	37.1	0.048	0.157	0.105	0.089	0.080	0.087	0.091	0.091	0.089	0.091	0.085	0.047	0.048	0.093	0.094	0.090	0.092	0.093	0.092	0.082	0.092	0.111	0.167	0.047	0.048	0.090	0.097	0.093	0.093	0.103	0.097	0.097	0.092	0.092	0.091	0.047	0.048	0.087	0.087	0.085	0.083	0.090	0.084	0.083	0.082	0.084	0.087	0.047	0.047	0.057	0.066	0.061	0.062	0.060	0.067	0.064	0.066	0.066	0.066	0.048	0.047	0.064	0.063	0.063	0.062	0.063	0.063	0.062	0.064	0.064	0.061	0.047	0.046	0.061	0.066	0.065	0.065	0.068	0.066	0.065	0.062	0.061	0.061	0.047	0.047	0.061	0.060	0.061	0.062	0.065	0.063	0.061	0.065	0.063	0.061	0.047
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																
0:00:00	0.0																																																																																																

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.079	0.229	0.167	0.147	0.135	0.144	0.158	0.160	0.156	0.154	0.147	0.080	Corrected [Pathlength Corrected OD:600]
	-0.020	0.410	0.290	0.250	0.210	0.180	0.180	0.170	-0.180	0.190	0.160	0.020	Max V [OD600:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [OD600:600]
	0:14:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	0:14:10	1:44:10	1:44:10	1:34:10	t at Max V [OD600:600]
	0:09:10	0:52:50	1:17:06	1:19:58	1:19:10	1:25:17	1:40:50	1:42:42	0:09:10	1:31:16	1:37:55	1:49:10	Lagtime [OD600:600]
B	0.080	0.157	0.158	0.155	0.154	0.152	0.150	0.133	0.149	0.177	0.240	0.078	Corrected [Pathlength Corrected OD:600]
	0.010	0.180	0.200	0.180	0.200	0.250	0.180	0.210	0.210	0.270	0.400	-0.020	Max V [OD600:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [OD600:600]
	0:44:10	1:34:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	0:14:10	t at Max V [OD600:600]
	0:39:10	1:35:50	1:36:40	1:39:43	1:36:10	1:26:22	1:21:57	1:18:41	1:16:47	1:11:01	0:46:25	0:09:10	Lagtime [OD600:600]
C	0.080	0.151	0.163	0.153	0.154	0.156	0.150	0.149	0.142	0.145	0.144	0.080	Corrected [Pathlength Corrected OD:600]
	-0.010	0.250	0.280	0.280	0.290	0.340	0.300	0.300	0.260	0.230	0.220	-0.020	Max V [OD600:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [OD600:600]
	0:14:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	1:44:10	0:14:10	t at Max V [OD600:600]
	0:09:10	1:21:10	1:28:06	1:25:36	1:24:20	1:11:31	1:12:10	1:16:10	1:10:42	1:07:52	1:14:10	0:09:10	Lagtime [OD600:600]
D	0.080	0.150	0.146	0.139	0.137	0.146	0.137	0.141	0.136	0.140	0.142	0.079	Corrected [Pathlength Corrected OD:600]
	-0.010	0.130	0.120	0.120	0.100	0.170	0.130	0.090	0.130	0.130	0.160	-0.010	Max V [OD600:600]
	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	R-Squared [OD600:600]
